Acesso: <sqlite3.Connection object at 0x000001C8824A1120> - 2025-06-12T08:12:15.758764
Acesso: <sqlite3.Connection object at 0x000001C8824A13F0> - 2025-06-12T08:12:37.339011
Acesso: <sqlite3.Connection object at 0x000001C8824A1990> - 2025-06-12T08:12:37.350144
Acesso: <sqlite3.Connection object at 0x000001C8824A1A80> - 2025-06-12T08:12:37.352086
Acesso: <sqlite3.Cursor object at 0x00000207FC4F79C0> - 2025-06-12T08:12:49.508717
[2025-06-12T09:33:08.156869] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:36:39.669274] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:36:41.433554] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:41:38.896952] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:41:40.075938] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:42:36.503664] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:42:39.180119] SQL: SELECT * FROM EnterpriseSimplesNacional | PARAMS: ('Select All DataBase', '127.0.0.1')
[2025-06-12T09:42:39.955910] SQL: SELECT * FROM EnterpriseSimplesNacional WHERE id=62 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:42:43.704280] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:42:44.362758] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:42:47.554216] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:22.161308] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:22.891631] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:44:26.100421] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:26.974820] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:44:28.277689] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:28.947958] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:44:31.944021] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:32.551162] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:44:33.904753] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:34.510551] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:44:35.792244] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:36.372049] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:44:37.435221] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:38.223223] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:44:38.992353] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:39.783631] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=5 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:44:49.353176] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:50.251692] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
[2025-06-12T09:44:55.129807] SQL: SELECT * FROM EnterpriseLucroPresumido | PARAMS: ('Request All DataBase', '127.0.0.1')
[2025-06-12T09:44:55.874246] SQL: SELECT * FROM EnterpriseLucroPresumido WHERE id=6 | PARAMS: ('Request a Row', '127.0.0.1')
